deputy_name,deputy_state,political_party,refund_description,company_name,company_id,refund_date,refund_value,party_pg,party_en,party_tse,party_regdate,party_nmembers,party_ideology1,party_ideology2,party_ideology3,party_ideology4,party_position
PROFESSORA DORINHA SEABRA REZENDE,TO,DEM,FLIGHT TICKET,Cia Aérea - TAM,2.01286200016e+12,2016-07-29T00:00:00,937.63,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,3.06597005085e+11,2016-06-21T00:00:00,150.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,3.06597005085e+11,2016-06-01T00:00:00,100.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,MEGA POSTO BERIMBAU LTDA - ME,1.8559600001e+12,2016-04-19T00:00:00,168.07,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,MEGA POSTO BERIMBAU LTDA - ME,1.8559600001e+12,2016-08-13T00:00:00,239.57,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,Pacifico Comércio e Serviços de Combustíveis Ltda,6.94862300018e+12,2016-01-14T00:00:00,202.09,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO 212 SUL LTDA,5.95058000125e+11,2016-11-15T00:00:00,100.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA,3.71284770002e+13,2016-07-04T00:00:00,150.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA,3.71284770002e+13,2016-02-16T00:00:00,172.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO GAMELEIRA LTDA,1.35703530002e+13,2016-12-12T00:00:00,50.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO GAMELEIRA LTDA,1.35703530002e+13,2016-01-22T00:00:00,20.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO ELITE,1.37124350003e+13,2016-05-17T00:00:00,128.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO DISBRAVE IMPERIAL LTDA,1.07500390002e+13,2016-03-28T00:00:00,160.05,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO DE COMBUSTIVEIS NEVES LTDA,8.6132300017e+11,2016-08-04T00:00:00,30.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO DE COMBUSTIVEIS NEVES LTDA,8.6132300017e+11,2016-02-14T00:00:00,50.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO DA TORRE EIRELI EPP,4.47319300016e+12,2016-10-17T00:00:00,150.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,Petroil Combustíveis Ltda.,2.07228600065e+12,2016-07-13T00:00:00,50.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA,3.71284770002e+13,2016-10-09T00:00:00,100.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,3.06597006995e+11,2016-03-02T00:00:00,50.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,PETROIL COMBUSTIVEIS LTDA,2.07228600065e+12,2016-05-16T00:00:00,150.0,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,Cascol Combustíveis para Veículos Ltda.,3.06597004518e+11,2016-06-27T00:00:00,100.31,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,COMERCIAL DE COMB. CIDADE JARDIM LTDA,2.37796200019e+12,2016-01-28T00:00:00,182.7,Democratas,Democrats,25,11-09-86,1095712,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
